日期	最新股价	开盘	高	低	交易量	百分比变化
2014年9月16日	100.86	99.80	101.26	98.89	66.91M	-0.76%
2014年9月15日	101.63	102.81	103.05	101.44	61.32M	-0.03%
2014年9月12日	101.66	101.21	102.19	101.08	64.10M	0.23%
2014年9月11日	101.43	100.41	101.44	99.62	62.40M	0.43%
2014年9月10日	101.00	98.01	101.11	97.76	100.87M	3.07%
2014年9月9日	97.99	99.08	103.08	96.14	189.85M	-0.38%
2014年9月8日	98.36	99.30	99.31	98.05	46.36M	-0.62%
2014年9月5日	98.97	98.80	99.39	98.31	58.46M	0.87%
2014年9月4日	98.12	98.85	100.09	97.79	85.72M	-0.83%
2014年9月3日	98.94	103.10	103.20	98.58	125.42M	-4.22%
2014年9月2日	103.30	103.06	103.74	102.72	53.56M	0.78%
2014年8月29日	102.50	102.86	102.90	102.20	44.60M	0.24%
2014年8月28日	102.25	101.59	102.78	101.56	68.46M	0.12%
2014年8月27日	102.13	101.02	102.57	100.70	52.37M	1.23%
2014年8月26日	100.89	101.42	101.50	100.86	33.15M	-0.64%
2014年8月25日	101.54	101.79	102.17	101.28	40.27M	0.22%
2014年8月22日	101.32	100.29	101.47	100.19	44.18M	0.74%
2014年8月21日	100.58	100.57	100.94	100.11	33.48M	0.01%
2014年8月20日	100.57	100.44	101.09	99.95	52.70M	0.04%
2014年8月19日	100.53	99.41	100.68	99.32	69.40M	1.38%
2014年8月18日	99.16	98.49	99.37	97.98	47.57M	1.20%
2014年8月15日	97.98	97.90	98.19	96.86	48.95M	0.49%
2014年8月14日	97.50	97.33	97.57	96.80	28.12M	0.27%
2014年8月13日	97.24	96.15	97.24	96.04	31.92M	1.32%
2014年8月12日	95.97	96.04	96.88	95.61	33.80M	-0.02%
2014年8月11日	95.99	95.27	96.08	94.84	36.58M	1.32%
2014年8月8日	94.74	94.26	94.82	93.28	41.87M	0.28%
2014年8月7日	94.48	94.93	95.95	94.10	46.71M	-0.51%
2014年8月6日	94.96	94.75	95.48	94.71	38.56M	-0.17%
2014年8月5日	95.12	95.36	95.68	94.36	55.93M	-0.49%
2014年8月4日	95.59	96.37	96.58	95.17	39.96M	-0.56%
2014年8月1日	96.13	94.90	96.62	94.81	48.51M	0.55%
2014年7月31日	95.60	97.16	97.45	95.33	56.84M	-2.60%
2014年7月30日	98.15	98.44	98.70	97.67	33.01M	-0.23%
2014年7月29日	98.38	99.33	99.44	98.25	43.14M	-0.65%
2014年7月28日	99.02	97.82	99.24	97.55	55.32M	1.38%
2014年7月25日	97.67	96.85	97.84	96.64	43.47M	0.66%
2014年7月24日	97.03	97.03	97.32	96.42	45.73M	-0.16%
2014年7月23日	97.19	95.42	97.88	95.17	92.92M	2.61%
2014年7月22日	94.72	94.68	94.89	94.12	55.20M	0.83%
2014年7月21日	93.94	94.99	95.00	93.72	39.08M	-0.52%
2014年7月18日	94.43	93.62	94.74	93.02	49.99M	1.44%
2014年7月17日	93.09	95.03	95.28	92.57	57.30M	-1.78%
2014年7月16日	94.78	96.97	97.10	94.74	53.50M	-0.57%
2014年7月15日	95.32	96.80	96.85	95.03	45.70M	-1.17%
2014年7月14日	96.45	95.86	96.89	95.65	42.81M	1.29%
2014年7月11日	95.22	95.36	95.89	94.86	34.02M	0.20%
2014年7月10日	95.03	93.76	95.55	93.52	39.69M	-0.38%
2014年7月9日	95.39	95.44	95.95	94.76	36.44M	0.04%
2014年7月8日	95.35	96.27	96.80	93.92	65.22M	-0.65%
2014年7月7日	95.97	94.14	95.99	94.10	56.47M	2.06%
2014年7月3日	94.03	93.67	94.10	93.20	22.89M	0.59%
2014年7月2日	93.48	93.86	94.06	93.09	28.47M	-0.04%
2014年7月1日	93.52	93.52	94.07	93.13	38.22M	0.63%
2014年6月30日	92.93	92.10	93.72	92.09	49.59M	1.03%
2014年6月27日	91.98	90.82	92.00	90.77	64.03M	1.19%
2014年6月26日	90.90	90.37	91.05	89.80	32.63M	0.60%
2014年6月25日	90.36	90.21	90.70	89.65	36.87M	0.09%
2014年6月24日	90.28	90.75	91.74	90.19	39.04M	-0.61%
2014年6月23日	90.83	91.32	91.62	90.60	43.69M	-0.09%
2014年6月20日	90.91	91.85	92.55	90.90	100.90M	-1.03%
2014年6月19日	91.86	92.29	92.30	91.34	35.53M	-0.35%
2014年6月18日	92.18	92.27	92.29	91.35	33.51M	0.11%
2014年6月17日	92.08	92.31	92.70	91.80	29.73M	-0.13%
2014年6月16日	92.20	91.51	92.75	91.45	35.56M	1.01%
2014年6月13日	91.28	92.20	92.44	90.88	54.53M	-1.09%
2014年6月12日	92.29	94.04	94.12	91.90	54.75M	-1.67%
2014年6月11日	93.86	94.13	94.76	93.47	45.68M	-0.41%
2014年6月10日	94.25	94.73	95.05	93.57	62.78M	0.59%
2014年6月9日	93.70	92.70	93.88	91.75	75.41M	1.60%
2014年6月6日	92.22	92.84	93.04	92.07	87.62M	-0.28%
2014年6月5日	92.48	92.31	92.77	91.80	75.95M	0.39%
2014年6月4日	92.12	91.06	92.56	90.87	83.87M	1.14%
2014年6月3日	91.08	89.78	91.25	89.75	73.23M	1.41%
2014年6月2日	89.81	90.57	90.69	88.93	92.34M	-0.69%
2014年5月30日	90.43	91.14	92.02	89.84	141.01M	-0.37%
2014年5月29日	90.77	89.69	90.98	89.68	94.12M	1.83%
2014年5月28日	89.14	89.43	89.98	89.11	78.92M	-0.27%
2014年5月27日	89.38	87.98	89.41	87.95	87.22M	1.88%
2014年5月23日	87.73	86.75	87.82	86.64	58.05M	1.13%
2014年5月22日	86.75	86.66	87.12	86.30	50.22M	0.15%
2014年5月21日	86.62	86.26	86.67	86.01	49.25M	0.27%
2014年5月20日	86.39	86.36	86.63	85.82	58.71M	0.02%
2014年5月19日	86.37	85.41	86.76	85.33	79.44M	1.18%
2014年5月16日	85.36	84.09	85.36	83.63	69.09M	1.47%
2014年5月15日	84.12	84.96	85.23	84.01	57.71M	-0.85%
2014年5月14日	84.84	84.63	85.34	84.53	41.60M	0.02%
2014年5月13日	84.82	84.57	84.93	84.39	39.93M	0.15%
2014年5月12日	84.69	83.93	84.81	83.91	53.32M	1.24%
2014年5月9日	83.65	83.51	83.75	82.90	72.90M	-0.42%
2014年5月8日	84.00	84.04	84.92	83.77	57.57M	-0.73%
2014年5月7日	84.62	85.04	85.33	83.96	70.72M	-0.35%
2014年5月6日	84.92	85.97	86.34	84.92	93.64M	-1.08%
2014年5月5日	85.85	84.31	85.86	84.29	71.77M	1.42%
2014年5月2日	84.65	84.62	84.89	84.24	47.88M	0.18%
2014年5月1日	84.50	84.57	84.97	83.77	61.05M	0.24%
2014年4月30日	84.30	84.66	85.63	84.26	114.22M	-0.38%
2014年4月29日	84.62	84.82	85.14	84.22	84.34M	-0.29%
2014年4月28日	84.87	81.83	85.11	81.79	167.37M	3.87%
2014年4月25日	81.71	80.65	81.71	80.57	97.57M	0.74%
2014年4月24日	81.11	81.17	81.43	80.10	189.98M	8.20%
2014年4月23日	74.96	75.58	75.88	74.92	98.74M	-1.32%
2014年4月22日	75.96	75.47	75.98	75.21	50.66M	0.11%
2014年4月21日	75.88	75.05	76.02	74.85	45.67M	1.19%
2014年4月17日	74.99	74.29	75.39	74.17	71.11M	1.15%
2014年4月16日	74.14	74.01	74.44	73.45	53.73M	0.20%
2014年4月15日	73.99	74.32	74.52	73.05	66.62M	-0.72%
2014年4月14日	74.53	74.56	74.59	73.89	51.45M	0.40%
2014年4月11日	74.23	74.14	74.69	73.88	67.98M	-0.74%
2014年4月10日	74.78	75.81	76.03	74.74	59.91M	-1.29%
2014年4月9日	75.76	74.66	75.78	74.57	51.54M	1.31%
2014年4月8日	74.78	75.03	75.16	74.10	60.97M	0.00%
